State(1000, [3.0, -2.0, 3.0], Array{Float64}[[0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
1,B,B1,(i1-i3;1),0
2,C,C3,i3,0.5
3,C,C1,i3,3.0
4,C,C2,i1,0.5
5,C,C1,i3,3.0
6,C,C1,i3,3.0
7,C,C2,i1,0.5
8,B,B2,(i3-i2;0),0
9,C,C1,i3,3.0
10,C,C2,i1,0.5
11,C,C2,i2,0.5
12,C,C2,i2,0.5
13,C,C2,i2,0.5
14,C,C2,i2,0.5
15,C,C3,i3,0.5
16,C,C2,i1,0.5
17,C,C2,i2,0.5
18,C,C3,i2,0.5
19,C,C2,i1,0.5
20,C,C1,i1,3.0
21,C,C3,i3,0.5
22,C,C3,i3,0.5
23,C,C1,i1,3.0
24,C,C2,i2,0.5
25,C,C1,i1,3.0
26,C,C3,i2,0.5
27,C,C2,i2,0.5
28,C,C1,i3,3.0
29,C,C3,i2,0.5
30,C,C3,i2,0.5
31,C,C3,i3,0.5
32,C,C3,i3,0.5
33,C,C3,i3,0.5
34,C,C3,i2,0.5
35,C,C3,i2,0.5
36,C,C1,i1,3.0
37,C,C3,i2,0.5
38,C,C3,i3,0.5
39,C,C3,i3,0.5
40,C,C3,i3,0.5
41,C,C2,i2,0.5
42,C,C3,i3,0.5
43,C,C1,i3,3.0
44,C,C1,i1,3.0
45,C,C3,i3,0.5
46,C,C1,i3,3.0
47,C,C1,i1,3.0
48,C,C3,i2,0.5
49,C,C3,i2,0.5
50,C,C3,i2,0.5
51,C,C2,i2,0.5
52,C,C3,i2,0.5
53,C,C1,i1,3.0
54,C,C3,i3,0.5
55,C,C1,i3,3.0
56,C,C1,i3,3.0
57,C,C1,i1,3.0
58,C,C3,i2,0.5
59,C,C3,i3,0.5
60,C,C1,i3,3.0
61,C,C3,i2,0.5
62,C,C3,i2,0.5
63,B,B2,(i3-i1;0),0
64,C,C3,i2,0.5
65,C,C2,i2,0.5
66,C,C3,i3,0.5
67,C,C3,i3,0.5
68,C,C2,i2,0.5
69,C,C1,i1,3.0
70,C,C1,i3,3.0
71,C,C3,i3,0.5
72,C,C2,i2,0.5
73,C,C3,i3,0.5
74,C,C3,i2,0.5
75,C,C2,i1,0.5
76,C,C2,i2,0.5
77,C,C3,i3,0.5
78,C,C1,i3,3.0
79,C,C1,i3,3.0
80,C,C3,i3,0.5
81,C,C3,i2,0.5
82,C,C3,i3,0.5
83,C,C1,i3,3.0
84,C,C3,i3,0.5
85,C,C1,i3,3.0
86,C,C2,i2,0.5
87,C,C2,i2,0.5
88,C,C1,i3,3.0
89,C,C3,i2,0.5
90,C,C2,i2,0.5
91,C,C1,i1,3.0
92,C,C1,i1,3.0
93,C,C3,i2,0.5
94,C,C1,i3,3.0
95,C,C3,i3,0.5
96,C,C3,i3,0.5
97,C,C3,i3,0.5
98,C,C3,i2,0.5
99,C,C3,i2,0.5
100,C,C3,i3,0.5
101,C,C3,i3,0.5
102,C,C3,i3,0.5
103,C,C3,i2,0.5
104,C,C3,i3,0.5
105,C,C1,i1,3.0
106,C,C2,i1,0.5
107,C,C3,i3,0.5
108,C,C3,i3,0.5
109,C,C1,i3,3.0
110,C,C3,i2,0.5
111,C,C2,i2,0.5
