State(1000, [3.0, -2.0, 8.0], Array{Float64}[[0.5, 0.0, 0.5], [0.0, 0.5, 0.5], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
1,B,B,(i1-i3;0),0
2,C,C1,i3,5.5
3,C,C2,i2,3.0
4,C,C1,i3,5.5
5,C,C3,i2,3.0
6,C,C2,i2,3.0
7,C,C1,i3,5.5
8,C,C1,i1,5.5
9,C,C2,i2,3.0
10,C,C2,i2,3.0
11,C,C1,i1,5.5
12,C,C2,i2,3.0
13,C,C3,i3,3.0
14,C,C2,i2,3.0
15,C,C2,i3,3.0
16,C,C1,i3,5.5
17,C,C1,i3,5.5
18,C,C1,i1,5.5
19,C,C2,i3,3.0
20,C,C1,i1,5.5
21,C,C1,i3,5.5
22,C,C1,i1,5.5
23,C,C3,i3,3.0
24,C,C1,i1,5.5
25,C,C2,i2,3.0
26,C,C2,i3,3.0
27,C,C1,i3,5.5
28,C,C1,i3,5.5
29,C,C1,i1,5.5
30,C,C2,i3,3.0
31,C,C2,i3,3.0
32,C,C1,i3,5.5
33,C,C2,i3,3.0
34,C,C3,i3,3.0
35,C,C2,i2,3.0
36,C,C3,i2,3.0
37,C,C1,i1,5.5
38,C,C2,i3,3.0
39,C,C1,i1,5.5
40,C,C1,i3,5.5
41,C,C1,i1,5.5
42,C,C3,i3,3.0
43,C,C1,i1,5.5
44,C,C2,i2,3.0
45,C,C2,i3,3.0
46,C,C1,i3,5.5
47,C,C1,i3,5.5
48,C,C1,i1,5.5
49,C,C2,i3,3.0
50,C,C2,i3,3.0
51,C,C1,i3,5.5
52,C,C2,i3,3.0
53,C,C3,i3,3.0
54,C,C2,i2,3.0
55,C,C3,i2,3.0
56,C,C1,i1,5.5
57,C,C2,i3,3.0
58,C,C1,i1,5.5
59,C,C1,i3,5.5
60,C,C1,i1,5.5
61,C,C3,i3,3.0
62,C,C1,i1,5.5
63,C,C2,i2,3.0
64,C,C2,i3,3.0
65,C,C1,i3,5.5
66,C,C1,i3,5.5
67,C,C1,i1,5.5
68,C,C2,i3,3.0
69,C,C2,i3,3.0
70,C,C1,i3,5.5
71,C,C2,i3,3.0
72,C,C3,i3,3.0
73,C,C2,i2,3.0
74,C,C3,i2,3.0
75,C,C1,i1,5.5
76,C,C2,i3,3.0
77,C,C1,i1,5.5
78,C,C1,i3,5.5
79,C,C1,i1,5.5
80,C,C3,i3,3.0
81,C,C1,i1,5.5
82,C,C2,i2,3.0
83,C,C2,i3,3.0
84,C,C1,i3,5.5
85,C,C1,i3,5.5
86,C,C1,i1,5.5
87,C,C2,i3,3.0
88,C,C2,i3,3.0
89,C,C1,i3,5.5
90,C,C2,i3,3.0
91,C,C3,i3,3.0
92,C,C2,i2,3.0
93,C,C3,i2,3.0
94,C,C1,i1,5.5
95,C,C2,i3,3.0
96,C,C1,i1,5.5
97,C,C1,i3,5.5
98,C,C1,i1,5.5
99,C,C3,i3,3.0
100,C,C1,i1,5.5
101,C,C2,i2,3.0
102,C,C2,i3,3.0
103,C,C1,i3,5.5
104,C,C1,i3,5.5
105,C,C1,i1,5.5
106,C,C2,i3,3.0
107,C,C2,i3,3.0
108,C,C1,i3,5.5
109,C,C2,i3,3.0
110,C,C3,i3,3.0
111,C,C2,i2,3.0
112,C,C3,i2,3.0
113,C,C1,i1,5.5
114,C,C2,i3,3.0
115,C,C1,i1,5.5
116,C,C1,i3,5.5
117,C,C1,i1,5.5
118,C,C3,i3,3.0
119,C,C1,i1,5.5
120,C,C2,i2,3.0
121,C,C2,i3,3.0
122,C,C1,i3,5.5
123,C,C1,i3,5.5
124,C,C1,i1,5.5
125,C,C2,i3,3.0
126,C,C2,i3,3.0
127,C,C1,i3,5.5
128,C,C2,i3,3.0
129,C,C3,i3,3.0
130,C,C2,i2,3.0
131,C,C3,i2,3.0
132,C,C1,i1,5.5
133,C,C2,i3,3.0
134,C,C1,i1,5.5
135,C,C1,i3,5.5
136,C,C1,i1,5.5
137,C,C3,i3,3.0
138,C,C1,i1,5.5
139,C,C2,i2,3.0
140,C,C2,i3,3.0
141,C,C1,i3,5.5
142,C,C1,i3,5.5
143,C,C1,i1,5.5
144,C,C2,i3,3.0
145,C,C2,i3,3.0
146,C,C1,i3,5.5
147,C,C2,i3,3.0
148,C,C3,i3,3.0
149,C,C2,i2,3.0
150,C,C3,i2,3.0
151,C,C1,i1,5.5
152,C,C2,i3,3.0
153,C,C1,i1,5.5
154,C,C1,i3,5.5
155,C,C1,i1,5.5
156,C,C3,i3,3.0
157,C,C1,i1,5.5
158,C,C2,i2,3.0
159,C,C2,i3,3.0
160,C,C1,i3,5.5
161,C,C1,i3,5.5
162,C,C1,i1,5.5
163,C,C2,i3,3.0
164,C,C2,i3,3.0
165,C,C1,i3,5.5
166,C,C2,i3,3.0
167,C,C3,i3,3.0
168,C,C2,i2,3.0
169,C,C3,i2,3.0
170,C,C1,i1,5.5
171,C,C2,i3,3.0
172,C,C1,i1,5.5
173,C,C1,i3,5.5
174,C,C1,i1,5.5
175,C,C3,i3,3.0
176,C,C1,i1,5.5
177,C,C2,i2,3.0
178,C,C2,i3,3.0
179,C,C1,i3,5.5
180,C,C1,i3,5.5
181,C,C1,i1,5.5
182,C,C2,i3,3.0
183,C,C2,i3,3.0
184,C,C1,i3,5.5
185,C,C2,i3,3.0
186,C,C3,i3,3.0
187,C,C2,i2,3.0
188,C,C3,i2,3.0
189,C,C1,i1,5.5
190,C,C2,i3,3.0
191,C,C1,i1,5.5
192,C,C1,i3,5.5
193,C,C1,i1,5.5
194,C,C3,i3,3.0
195,C,C1,i1,5.5
196,C,C2,i2,3.0
197,C,C2,i3,3.0
198,C,C1,i3,5.5
199,C,C1,i3,5.5
200,C,C1,i1,5.5
201,C,C2,i3,3.0
202,C,C2,i3,3.0
203,C,C1,i3,5.5
204,C,C2,i3,3.0
205,C,C3,i3,3.0
206,C,C2,i2,3.0
207,C,C3,i2,3.0
208,C,C1,i1,5.5
209,C,C2,i3,3.0
210,C,C1,i1,5.5
211,C,C1,i3,5.5
212,C,C1,i1,5.5
213,C,C3,i3,3.0
214,C,C1,i1,5.5
215,C,C2,i2,3.0
216,C,C2,i3,3.0
217,C,C1,i3,5.5
218,C,C1,i3,5.5
219,C,C1,i1,5.5
220,C,C2,i3,3.0
221,C,C2,i3,3.0
222,C,C1,i3,5.5
223,C,C2,i3,3.0
224,C,C3,i3,3.0
225,C,C2,i2,3.0
226,C,C3,i2,3.0
227,C,C1,i1,5.5
228,C,C2,i3,3.0
229,C,C1,i1,5.5
230,C,C1,i3,5.5
231,C,C1,i1,5.5
232,C,C3,i3,3.0
233,C,C1,i1,5.5
234,C,C2,i2,3.0
235,C,C2,i3,3.0
236,C,C1,i3,5.5
237,C,C1,i3,5.5
238,C,C1,i1,5.5
239,C,C2,i3,3.0
240,C,C2,i3,3.0
241,C,C1,i3,5.5
242,C,C2,i3,3.0
243,C,C3,i3,3.0
244,C,C2,i2,3.0
245,C,C3,i2,3.0
246,C,C1,i1,5.5
247,C,C2,i3,3.0
248,C,C1,i1,5.5
249,C,C1,i3,5.5
250,C,C1,i1,5.5
251,C,C3,i3,3.0
252,C,C1,i1,5.5
253,C,C2,i2,3.0
254,C,C2,i3,3.0
255,C,C1,i3,5.5
256,C,C1,i3,5.5
257,C,C1,i1,5.5
258,C,C2,i3,3.0
259,C,C2,i3,3.0
260,C,C1,i3,5.5
261,C,C2,i3,3.0
262,C,C3,i3,3.0
263,C,C2,i2,3.0
264,C,C3,i2,3.0
265,C,C1,i1,5.5
266,C,C2,i3,3.0
267,C,C1,i1,5.5
268,C,C1,i3,5.5
269,C,C1,i1,5.5
270,C,C3,i3,3.0
271,C,C1,i1,5.5
272,C,C2,i2,3.0
273,C,C2,i3,3.0
274,C,C1,i3,5.5
275,C,C1,i3,5.5
