State(1000, [3.0, 8.0, 8.0], Array{Float64}[[0.0, 0.5, 0.5], [0.5, 0.5, 0.0], [0.5, 0.5, 0.0]], [0.0, 0.01, 50.0])
1,B,B,(i1-i3;0),0
2,C,C3,i2,5.5
3,C,C2,i1,5.5
4,C,C3,i1,5.5
5,C,C1,i2,8.0
6,C,C2,i1,5.5
7,C,C1,i2,8.0
8,C,C1,i3,8.0
9,C,C3,i1,5.5
10,C,C1,i3,8.0
11,C,C2,i2,5.5
12,C,C3,i1,5.5
13,C,C2,i1,5.5
14,C,C3,i2,5.5
15,C,C3,i1,5.5
16,C,C1,i2,8.0
17,C,C3,i2,5.5
18,C,C1,i2,8.0
19,C,C1,i2,8.0
20,C,C3,i2,5.5
21,C,C1,i3,8.0
22,C,C3,i2,5.5
23,C,C3,i1,5.5
24,C,C1,i3,8.0
25,C,C1,i3,8.0
26,C,C1,i3,8.0
27,C,C3,i2,5.5
28,C,C3,i1,5.5
29,C,C1,i3,8.0
30,C,C1,i3,8.0
31,C,C1,i3,8.0
32,C,C3,i2,5.5
33,C,C3,i1,5.5
34,C,C1,i3,8.0
35,C,C1,i3,8.0
36,C,C1,i3,8.0
37,C,C3,i2,5.5
38,C,C3,i1,5.5
39,C,C1,i3,8.0
40,C,C1,i3,8.0
41,C,C1,i3,8.0
42,C,C3,i2,5.5
43,C,C3,i1,5.5
44,C,C1,i3,8.0
45,C,C1,i3,8.0
46,C,C1,i3,8.0
47,C,C3,i2,5.5
48,C,C3,i1,5.5
49,C,C1,i3,8.0
50,C,C1,i3,8.0
51,C,C1,i3,8.0
52,C,C3,i2,5.5
53,C,C3,i1,5.5
54,C,C1,i3,8.0
55,C,C1,i3,8.0
56,C,C1,i3,8.0
57,C,C3,i2,5.5
58,C,C3,i1,5.5
59,C,C1,i3,8.0
60,C,C1,i3,8.0
61,C,C1,i3,8.0
62,C,C3,i2,5.5
63,C,C3,i1,5.5
64,C,C1,i3,8.0
65,C,C1,i3,8.0
66,C,C1,i3,8.0
67,C,C3,i2,5.5
68,C,C3,i1,5.5
69,C,C1,i3,8.0
70,C,C1,i3,8.0
71,C,C1,i3,8.0
72,C,C3,i2,5.5
73,C,C3,i1,5.5
74,C,C1,i3,8.0
75,C,C1,i3,8.0
76,C,C1,i3,8.0
77,C,C3,i2,5.5
78,C,C3,i1,5.5
79,C,C1,i3,8.0
80,C,C1,i3,8.0
81,C,C1,i3,8.0
82,C,C3,i2,5.5
83,C,C3,i1,5.5
84,C,C1,i3,8.0
85,C,C1,i3,8.0
86,C,C1,i3,8.0
87,C,C3,i2,5.5
88,C,C3,i1,5.5
89,C,C1,i3,8.0
90,C,C1,i3,8.0
91,C,C1,i3,8.0
92,C,C3,i2,5.5
93,C,C3,i1,5.5
94,C,C1,i3,8.0
95,C,C1,i3,8.0
96,C,C1,i3,8.0
97,C,C3,i2,5.5
98,C,C3,i1,5.5
99,C,C1,i3,8.0
100,C,C1,i3,8.0
101,C,C1,i3,8.0
102,C,C3,i2,5.5
103,C,C3,i1,5.5
104,C,C1,i3,8.0
105,C,C1,i3,8.0
106,C,C1,i3,8.0
107,C,C3,i2,5.5
108,C,C3,i1,5.5
109,C,C1,i3,8.0
110,C,C1,i3,8.0
111,C,C1,i3,8.0
112,C,C3,i2,5.5
113,C,C3,i1,5.5
114,C,C1,i3,8.0
115,C,C1,i3,8.0
116,C,C1,i3,8.0
117,C,C3,i2,5.5
118,C,C3,i1,5.5
119,C,C1,i3,8.0
120,C,C1,i3,8.0
121,C,C1,i3,8.0
122,C,C3,i2,5.5
123,C,C3,i1,5.5
124,C,C1,i3,8.0
125,C,C1,i3,8.0
126,C,C1,i3,8.0
127,C,C3,i2,5.5
128,C,C3,i1,5.5
129,C,C1,i3,8.0
130,C,C1,i3,8.0
131,C,C1,i3,8.0
132,C,C3,i2,5.5
133,C,C3,i1,5.5
134,C,C1,i3,8.0
135,C,C1,i3,8.0
136,C,C1,i3,8.0
137,C,C3,i2,5.5
138,C,C3,i1,5.5
139,C,C1,i3,8.0
140,C,C1,i3,8.0
141,C,C1,i3,8.0
142,C,C3,i2,5.5
143,C,C3,i1,5.5
144,C,C1,i3,8.0
145,C,C1,i3,8.0
146,C,C1,i3,8.0
147,C,C3,i2,5.5
148,C,C3,i1,5.5
149,C,C1,i3,8.0
150,C,C1,i3,8.0
151,C,C1,i3,8.0
152,C,C3,i2,5.5
153,C,C3,i1,5.5
154,C,C1,i3,8.0
155,C,C1,i3,8.0
156,C,C1,i3,8.0
157,C,C3,i2,5.5
158,C,C3,i1,5.5
159,C,C1,i3,8.0
160,C,C1,i3,8.0
161,C,C1,i3,8.0
162,C,C3,i2,5.5
163,C,C3,i1,5.5
164,C,C1,i3,8.0
165,C,C1,i3,8.0
166,C,C1,i3,8.0
167,C,C3,i2,5.5
168,C,C3,i1,5.5
169,C,C1,i3,8.0
170,C,C1,i3,8.0
171,C,C1,i3,8.0
172,C,C3,i2,5.5
173,C,C3,i1,5.5
174,C,C1,i3,8.0
175,C,C1,i3,8.0
176,C,C1,i3,8.0
177,C,C3,i2,5.5
178,C,C3,i1,5.5
179,C,C1,i3,8.0
180,C,C1,i3,8.0
181,C,C1,i3,8.0
182,C,C3,i2,5.5
183,C,C3,i1,5.5
184,C,C1,i3,8.0
185,C,C1,i3,8.0
186,C,C1,i3,8.0
187,C,C3,i2,5.5
188,C,C3,i1,5.5
189,C,C1,i3,8.0
190,C,C1,i3,8.0
191,C,C1,i3,8.0
192,C,C3,i2,5.5
193,C,C3,i1,5.5
194,C,C1,i3,8.0
195,C,C1,i3,8.0
196,C,C1,i3,8.0
197,C,C3,i2,5.5
198,C,C3,i1,5.5
199,C,C1,i3,8.0
200,C,C1,i3,8.0
201,C,C1,i3,8.0
202,C,C3,i2,5.5
203,C,C3,i1,5.5
204,C,C1,i3,8.0
205,C,C1,i3,8.0
206,C,C1,i3,8.0
207,C,C3,i2,5.5
208,C,C3,i1,5.5
209,C,C1,i3,8.0
210,C,C1,i3,8.0
211,C,C1,i3,8.0
212,C,C3,i2,5.5
213,C,C3,i1,5.5
214,C,C1,i3,8.0
215,C,C1,i3,8.0
216,C,C1,i3,8.0
217,C,C3,i2,5.5
218,C,C3,i1,5.5
219,C,C1,i3,8.0
220,C,C1,i3,8.0
221,C,C1,i3,8.0
222,C,C3,i2,5.5
223,C,C3,i1,5.5
224,C,C1,i3,8.0
225,C,C1,i3,8.0
226,C,C1,i3,8.0
227,C,C3,i2,5.5
228,C,C3,i1,5.5
229,C,C1,i3,8.0
230,C,C1,i3,8.0
231,C,C1,i3,8.0
232,C,C3,i2,5.5
233,C,C3,i1,5.5
234,C,C1,i3,8.0
235,C,C1,i3,8.0
236,C,C1,i3,8.0
237,C,C3,i2,5.5
238,C,C3,i1,5.5
239,C,C1,i3,8.0
240,C,C1,i3,8.0
241,C,C1,i3,8.0
242,C,C3,i2,5.5
243,C,C3,i1,5.5
244,C,C1,i3,8.0
245,C,C1,i3,8.0
246,C,C1,i3,8.0
247,C,C3,i2,5.5
248,C,C3,i1,5.5
249,C,C1,i3,8.0
250,C,C1,i3,8.0
251,C,C1,i3,8.0
252,C,C3,i2,5.5
253,C,C3,i1,5.5
254,C,C1,i3,8.0
255,C,C1,i3,8.0
256,C,C1,i3,8.0
257,C,C3,i2,5.5
258,C,C3,i1,5.5
259,C,C1,i3,8.0
260,C,C1,i3,8.0
261,C,C1,i3,8.0
262,C,C3,i2,5.5
263,C,C3,i1,5.5
264,C,C1,i3,8.0
265,C,C1,i3,8.0
266,C,C1,i3,8.0
