State(1000, [8.0, 3.0, -2.0], Array{Float64}[[0.5, 0.5, 0.0], [0.5, 0.0, 0.5], [0.0, 0.5, 0.5]], [0.0, 0.01, 50.0])
1,B,B,(i1-i3;0),0
2,C,C3,i2,0.5
3,C,C2,i3,3.0
4,C,C1,i2,5.5
5,C,C2,i3,3.0
6,C,C1,i2,5.5
7,C,C3,i2,0.5
8,C,C2,i1,3.0
9,C,C1,i1,5.5
10,C,C2,i1,3.0
11,C,C2,i3,3.0
12,C,C3,i3,0.5
13,C,C2,i3,3.0
14,C,C1,i1,5.5
15,C,C2,i1,3.0
16,C,C2,i1,3.0
17,C,C1,i2,5.5
18,C,C1,i1,5.5
19,C,C2,i3,3.0
20,C,C2,i3,3.0
21,C,C3,i2,0.5
22,C,C1,i1,5.5
23,C,C1,i2,5.5
24,C,C2,i1,3.0
25,C,C1,i2,5.5
26,C,C2,i1,3.0
27,C,C3,i2,0.5
28,C,C2,i3,3.0
29,C,C1,i1,5.5
30,C,C2,i1,3.0
31,C,C2,i3,3.0
32,C,C1,i2,5.5
33,C,C2,i3,3.0
34,C,C1,i2,5.5
35,C,C1,i2,5.5
36,C,C1,i1,5.5
37,C,C1,i1,5.5
38,C,C3,i2,0.5
39,C,C2,i3,3.0
40,C,C1,i1,5.5
41,C,C2,i1,3.0
42,C,C2,i3,3.0
43,C,C1,i2,5.5
44,C,C2,i3,3.0
45,C,C1,i2,5.5
46,C,C1,i2,5.5
47,C,C1,i1,5.5
48,C,C1,i1,5.5
49,C,C3,i2,0.5
50,C,C2,i3,3.0
51,C,C1,i1,5.5
52,C,C2,i1,3.0
53,C,C2,i3,3.0
54,C,C1,i2,5.5
55,C,C2,i3,3.0
56,C,C1,i2,5.5
57,C,C1,i2,5.5
58,C,C1,i1,5.5
59,C,C1,i1,5.5
60,C,C3,i2,0.5
61,C,C2,i3,3.0
62,C,C1,i1,5.5
63,C,C2,i1,3.0
64,C,C2,i3,3.0
65,C,C1,i2,5.5
66,C,C2,i3,3.0
67,C,C1,i2,5.5
68,C,C1,i2,5.5
69,C,C1,i1,5.5
70,C,C1,i1,5.5
71,C,C3,i2,0.5
72,C,C2,i3,3.0
73,C,C1,i1,5.5
74,C,C2,i1,3.0
75,C,C2,i3,3.0
76,C,C1,i2,5.5
77,C,C2,i3,3.0
78,C,C1,i2,5.5
79,C,C1,i2,5.5
80,C,C1,i1,5.5
81,C,C1,i1,5.5
82,C,C3,i2,0.5
83,C,C2,i3,3.0
84,C,C1,i1,5.5
85,C,C2,i1,3.0
86,C,C2,i3,3.0
87,C,C1,i2,5.5
88,C,C2,i3,3.0
89,C,C1,i2,5.5
90,C,C1,i2,5.5
91,C,C1,i1,5.5
92,C,C1,i1,5.5
93,C,C3,i2,0.5
94,C,C2,i3,3.0
95,C,C1,i1,5.5
96,C,C2,i1,3.0
97,C,C2,i3,3.0
98,C,C1,i2,5.5
99,C,C2,i3,3.0
100,C,C1,i2,5.5
101,C,C1,i2,5.5
102,C,C1,i1,5.5
103,C,C1,i1,5.5
104,C,C3,i2,0.5
105,C,C2,i3,3.0
106,C,C1,i1,5.5
107,C,C2,i1,3.0
108,C,C2,i3,3.0
109,C,C1,i2,5.5
110,C,C2,i3,3.0
111,C,C1,i2,5.5
112,C,C1,i2,5.5
113,C,C1,i1,5.5
114,C,C1,i1,5.5
115,C,C3,i2,0.5
116,C,C2,i3,3.0
117,C,C1,i1,5.5
118,C,C2,i1,3.0
119,C,C2,i3,3.0
120,C,C1,i2,5.5
121,C,C2,i3,3.0
122,C,C1,i2,5.5
123,C,C1,i2,5.5
124,C,C1,i1,5.5
125,C,C1,i1,5.5
126,C,C3,i2,0.5
127,C,C2,i3,3.0
128,C,C1,i1,5.5
129,C,C2,i1,3.0
130,C,C2,i3,3.0
131,C,C1,i2,5.5
132,C,C2,i3,3.0
133,C,C1,i2,5.5
134,C,C1,i2,5.5
135,C,C1,i1,5.5
136,C,C1,i1,5.5
137,C,C3,i2,0.5
138,C,C2,i3,3.0
139,C,C1,i1,5.5
140,C,C2,i1,3.0
141,C,C2,i3,3.0
142,C,C1,i2,5.5
143,C,C2,i3,3.0
144,C,C1,i2,5.5
145,C,C1,i2,5.5
146,C,C1,i1,5.5
147,C,C1,i1,5.5
148,C,C3,i2,0.5
149,C,C2,i3,3.0
150,C,C1,i1,5.5
151,C,C2,i1,3.0
152,C,C2,i3,3.0
153,C,C1,i2,5.5
154,C,C2,i3,3.0
155,C,C1,i2,5.5
156,C,C1,i2,5.5
157,C,C1,i1,5.5
158,C,C1,i1,5.5
159,C,C3,i2,0.5
160,C,C2,i3,3.0
161,C,C1,i1,5.5
162,C,C2,i1,3.0
163,C,C2,i3,3.0
164,C,C1,i2,5.5
165,C,C2,i3,3.0
166,C,C1,i2,5.5
167,C,C1,i2,5.5
168,C,C1,i1,5.5
169,C,C1,i1,5.5
170,C,C3,i2,0.5
171,C,C2,i3,3.0
172,C,C1,i1,5.5
173,C,C2,i1,3.0
174,C,C2,i3,3.0
175,C,C1,i2,5.5
176,C,C2,i3,3.0
177,C,C1,i2,5.5
178,C,C1,i2,5.5
179,C,C1,i1,5.5
180,C,C1,i1,5.5
181,C,C3,i2,0.5
182,C,C2,i3,3.0
183,C,C1,i1,5.5
184,C,C2,i1,3.0
185,C,C2,i3,3.0
186,C,C1,i2,5.5
187,C,C2,i3,3.0
188,C,C1,i2,5.5
189,C,C1,i2,5.5
190,C,C1,i1,5.5
191,C,C1,i1,5.5
192,C,C3,i2,0.5
193,C,C2,i3,3.0
194,C,C1,i1,5.5
195,C,C2,i1,3.0
196,C,C2,i3,3.0
197,C,C1,i2,5.5
198,C,C2,i3,3.0
199,C,C1,i2,5.5
200,C,C1,i2,5.5
201,C,C1,i1,5.5
202,C,C1,i1,5.5
203,C,C3,i2,0.5
204,C,C2,i3,3.0
205,C,C1,i1,5.5
206,C,C2,i1,3.0
207,C,C2,i3,3.0
208,C,C1,i2,5.5
209,C,C2,i3,3.0
210,C,C1,i2,5.5
211,C,C1,i2,5.5
212,C,C1,i1,5.5
213,C,C1,i1,5.5
214,C,C3,i2,0.5
215,C,C2,i3,3.0
216,C,C1,i1,5.5
217,C,C2,i1,3.0
218,C,C2,i3,3.0
219,C,C1,i2,5.5
220,C,C2,i3,3.0
221,C,C1,i2,5.5
222,C,C1,i2,5.5
223,C,C1,i1,5.5
224,C,C1,i1,5.5
225,C,C3,i2,0.5
226,C,C2,i3,3.0
227,C,C1,i1,5.5
228,C,C2,i1,3.0
229,C,C2,i3,3.0
230,C,C1,i2,5.5
231,C,C2,i3,3.0
232,C,C1,i2,5.5
233,C,C1,i2,5.5
234,C,C1,i1,5.5
235,C,C1,i1,5.5
236,C,C3,i2,0.5
237,C,C2,i3,3.0
238,C,C1,i1,5.5
239,C,C2,i1,3.0
240,C,C2,i3,3.0
241,C,C1,i2,5.5
242,C,C2,i3,3.0
243,C,C1,i2,5.5
244,C,C1,i2,5.5
245,C,C1,i1,5.5
246,C,C1,i1,5.5
247,C,C3,i2,0.5
248,C,C2,i3,3.0
249,C,C1,i1,5.5
250,C,C2,i1,3.0
251,C,C2,i3,3.0
252,C,C1,i2,5.5
253,C,C2,i3,3.0
254,C,C1,i2,5.5
255,C,C1,i2,5.5
256,C,C1,i1,5.5
257,C,C1,i1,5.5
258,C,C3,i2,0.5
259,C,C2,i3,3.0
260,C,C1,i1,5.5
261,C,C2,i1,3.0
262,C,C2,i3,3.0
263,C,C1,i2,5.5
264,C,C2,i3,3.0
265,C,C1,i2,5.5
266,C,C1,i2,5.5
267,C,C1,i1,5.5
268,C,C1,i1,5.5
269,C,C3,i2,0.5
270,C,C2,i3,3.0
271,C,C1,i1,5.5
272,C,C2,i1,3.0
273,C,C2,i3,3.0
274,C,C1,i2,5.5
275,C,C2,i3,3.0
276,C,C1,i2,5.5
277,C,C1,i2,5.5
278,C,C1,i1,5.5
279,C,C1,i1,5.5
280,C,C3,i2,0.5
281,C,C2,i3,3.0
282,C,C1,i1,5.5
283,C,C2,i1,3.0
284,C,C2,i3,3.0
285,C,C1,i2,5.5
286,C,C2,i3,3.0
287,C,C1,i2,5.5
288,C,C1,i2,5.5
289,C,C1,i1,5.5
290,C,C1,i1,5.5
291,C,C3,i2,0.5
292,C,C2,i3,3.0
293,C,C1,i1,5.5
294,C,C2,i1,3.0
295,C,C2,i3,3.0
296,C,C1,i2,5.5
297,C,C2,i3,3.0
298,C,C1,i2,5.5
299,C,C1,i2,5.5
300,C,C1,i1,5.5
301,C,C1,i1,5.5
302,C,C3,i2,0.5
303,C,C2,i3,3.0
304,C,C1,i1,5.5
305,C,C2,i1,3.0
306,C,C2,i3,3.0
307,C,C1,i2,5.5
308,C,C2,i3,3.0
309,C,C1,i2,5.5
310,C,C1,i2,5.5
311,C,C1,i1,5.5
312,C,C1,i1,5.5
313,C,C3,i2,0.5
314,C,C2,i3,3.0
315,C,C1,i1,5.5
316,C,C2,i1,3.0
317,C,C2,i3,3.0
318,C,C1,i2,5.5
319,C,C2,i3,3.0
320,C,C1,i2,5.5
321,C,C1,i2,5.5
322,C,C1,i1,5.5
323,C,C1,i1,5.5
324,C,C3,i2,0.5
325,C,C2,i3,3.0
326,C,C1,i1,5.5
327,C,C2,i1,3.0
328,C,C2,i3,3.0
329,C,C1,i2,5.5
330,C,C2,i3,3.0
331,C,C1,i2,5.5
332,C,C1,i2,5.5
333,C,C1,i1,5.5
334,C,C1,i1,5.5
335,C,C3,i2,0.5
336,C,C2,i3,3.0
337,C,C1,i1,5.5
338,C,C2,i1,3.0
339,C,C2,i3,3.0
340,C,C1,i2,5.5
341,C,C2,i3,3.0
342,C,C1,i2,5.5
343,C,C1,i2,5.5
344,C,C1,i1,5.5
345,C,C1,i1,5.5
346,C,C3,i2,0.5
347,C,C2,i3,3.0
348,C,C1,i1,5.5
349,C,C2,i1,3.0
350,C,C2,i3,3.0
351,C,C1,i2,5.5
352,C,C2,i3,3.0
353,C,C1,i2,5.5
354,C,C1,i2,5.5
355,C,C1,i1,5.5
356,C,C1,i1,5.5
357,C,C3,i2,0.5
358,C,C2,i3,3.0
359,C,C1,i1,5.5
360,C,C2,i1,3.0
361,C,C2,i3,3.0
362,C,C1,i2,5.5
363,C,C2,i3,3.0
364,C,C1,i2,5.5
365,C,C1,i2,5.5
366,C,C1,i1,5.5
367,C,C1,i1,5.5
368,C,C3,i2,0.5
369,C,C2,i3,3.0
370,C,C1,i1,5.5
371,C,C2,i1,3.0
372,C,C2,i3,3.0
373,C,C1,i2,5.5
374,C,C2,i3,3.0
375,C,C1,i2,5.5
376,C,C1,i2,5.5
377,C,C1,i1,5.5
378,C,C1,i1,5.5
379,C,C3,i2,0.5
380,C,C2,i3,3.0
381,C,C1,i1,5.5
382,C,C2,i1,3.0
383,C,C2,i3,3.0
384,C,C1,i2,5.5
385,C,C2,i3,3.0
386,C,C1,i2,5.5
387,C,C1,i2,5.5
388,C,C1,i1,5.5
389,C,C1,i1,5.5
390,C,C3,i2,0.5
391,C,C2,i3,3.0
392,C,C1,i1,5.5
393,C,C2,i1,3.0
394,C,C2,i3,3.0
395,C,C1,i2,5.5
396,C,C2,i3,3.0
397,C,C1,i2,5.5
398,C,C1,i2,5.5
399,C,C1,i1,5.5
400,C,C1,i1,5.5
401,C,C3,i2,0.5
402,C,C2,i3,3.0
403,C,C1,i1,5.5
404,C,C2,i1,3.0
405,C,C2,i3,3.0
406,C,C1,i2,5.5
407,C,C2,i3,3.0
408,C,C1,i2,5.5
409,C,C1,i2,5.5
410,C,C1,i1,5.5
411,C,C1,i1,5.5
412,C,C3,i2,0.5
413,C,C2,i3,3.0
414,C,C1,i1,5.5
415,C,C2,i1,3.0
416,C,C2,i3,3.0
417,C,C1,i2,5.5
418,C,C2,i3,3.0
419,C,C1,i2,5.5
420,C,C1,i2,5.5
421,C,C1,i1,5.5
422,C,C1,i1,5.5
423,C,C3,i2,0.5
424,C,C2,i3,3.0
425,C,C1,i1,5.5
426,C,C2,i1,3.0
427,C,C2,i3,3.0
428,C,C1,i2,5.5
429,C,C2,i3,3.0
430,C,C1,i2,5.5
431,C,C1,i2,5.5
432,C,C1,i1,5.5
433,C,C1,i1,5.5
434,C,C3,i2,0.5
